product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
optio minima,Dairy & Breakfast,Goel-Sundaram,67.15,83.94,20,7,20,62
soluta facere,Dairy & Breakfast,Dar-Gola,840.82,1051.03,20,7,23,79
tempore repudiandae,Snacks & Munchies,"Johal, Iyengar and Zachariah",532.47,819.18,35,90,17,80
autem quaerat,Snacks & Munchies,Dugal-Jani,509.2,783.38,35,90,20,88
facere nesciunt,Snacks & Munchies,"Deol, Mandal and Kumar",948.26,1458.86,35,90,16,86
quis optio,Snacks & Munchies,Lall and Sons,144.41,222.17,35,90,15,73
laudantium accusamus,Snacks & Munchies,Sankar Group,231.85,356.69,35,90,26,63
repellendus tempora,Snacks & Munchies,Tak-Deol,21.32,32.8,35,90,21,74
blanditiis sit,Snacks & Munchies,Thaker PLC,583.54,897.75,35,90,29,87
harum aut,Snacks & Munchies,Lalla LLC,878.85,1352.08,35,90,25,74
sunt beatae,Snacks & Munchies,"Bath, Mitra and Deshpande",371.51,571.55,35,90,23,80
atque illo,Snacks & Munchies,Bali-Mistry,548.02,843.11,35,90,24,88
fugit rem,Snacks & Munchies,"Bandi, Munshi and Som",428.87,659.8,35,90,28,51
neque libero,Snacks & Munchies,Bahri-Khosla,770.76,1185.78,35,90,14,93
neque aut,Snacks & Munchies,Parsa Group,890.62,1370.18,35,90,19,61
laboriosam porro,Snacks & Munchies,Bora Inc,101.21,155.71,35,90,29,68
qui vero,Snacks & Munchies,Varkey-Puri,431.78,664.28,35,90,16,68
est quos,Snacks & Munchies,"Pathak, Sachdev and Kohli",914.85,1407.46,35,90,12,79
inventore ab,Snacks & Munchies,"Parsa, Kant and Ganguly",912.25,1403.46,35,90,26,84
inventore iste,Snacks & Munchies,"Srinivasan, Lata and Parikh",355.5,546.92,35,90,13,73
voluptates quam,Snacks & Munchies,Dubey and Sons,858.57,1320.88,35,90,29,64
ipsam enim,Cold Drinks & Juices,Magar Ltd,669.58,956.54,30,180,19,85
distinctio natus,Cold Drinks & Juices,Lad-Bava,817.61,1168.01,30,180,29,53
odit ad,Cold Drinks & Juices,Saran Inc,587.18,838.83,30,180,22,93
velit sit,Cold Drinks & Juices,"De, Tiwari and Karpe",986.68,1409.54,30,180,22,69
commodi ipsa,Cold Drinks & Juices,Raval Group,686.12,980.17,30,180,13,72
esse est,Cold Drinks & Juices,"Anand, Wali and Ganesh",718.73,1026.76,30,180,11,78
quidem tenetur,Cold Drinks & Juices,"Din, Chowdhury and Kari",889.53,1270.76,30,180,28,65
soluta officia,Cold Drinks & Juices,Radhakrishnan-Kumer,144.34,206.2,30,180,20,74
vitae ipsa,Cold Drinks & Juices,Mannan-Taneja,135.77,193.96,30,180,22,95
ipsam similique,Cold Drinks & Juices,Joshi-Baria,386.99,552.84,30,180,22,84
excepturi repellendus,Cold Drinks & Juices,Badami Inc,343.72,491.03,30,180,20,52
architecto ipsam,Cold Drinks & Juices,Varty LLC,495.66,708.09,30,180,22,87
quae odit,Cold Drinks & Juices,Ramakrishnan-Magar,904.89,1292.7,30,180,11,77
illo assumenda,Cold Drinks & Juices,Hayre and Sons,898.61,1283.73,30,180,23,82
ipsum impedit,Cold Drinks & Juices,Walia Inc,164.99,235.7,30,180,22,68
blanditiis sit,Cold Drinks & Juices,"Chada, Sharaf and Barad",885.68,1265.26,30,180,12,69
accusamus unde,Cold Drinks & Juices,"Khurana, Sheth and D’Alia",870.26,1243.23,30,180,12,83
voluptates perferendis,Cold Drinks & Juices,Koshy LLC,199.87,285.53,30,180,26,60
optio debitis,Cold Drinks & Juices,Lalla and Sons,581.75,831.07,30,180,13,55
animi tempora,Cold Drinks & Juices,Viswanathan and Sons,680.05,971.5,30,180,10,62
saepe cupiditate,Cold Drinks & Juices,Mallick-Lanka,796.01,1137.16,30,180,12,67
ullam optio,Cold Drinks & Juices,Divan Inc,777.77,1111.1,30,180,10,65
nostrum tempore,Cold Drinks & Juices,Mand-Chand,967.68,1382.4,30,180,23,94
maiores eveniet,Cold Drinks & Juices,Jha LLC,92.96,132.8,30,180,22,88
eaque itaque,Cold Drinks & Juices,"Basu, Balan and Nadkarni",409.72,585.31,30,180,18,100
inventore rem,Cold Drinks & Juices,"Lata, Som and Nazareth",443.94,634.2,30,180,20,57
eos laudantium,Instant & Frozen Food,Sen and Sons,673.01,1121.68,40,180,16,81
optio quod,Instant & Frozen Food,"Batra, Mani and Shanker",409.21,682.02,40,180,16,88
provident dolorum,Instant & Frozen Food,"Mangal, Sura and Patla",37.79,62.98,40,180,27,84
omnis ipsam,Instant & Frozen Food,Raman Group,835.94,1393.23,40,180,26,77
consequatur qui,Instant & Frozen Food,"Chanda, Jani and Kar",814.92,1358.2,40,180,19,83
consequuntur ab,Instant & Frozen Food,"Sharaf, Kala and Sankaran",865.4,1442.33,40,180,28,70
sit ipsam,Instant & Frozen Food,Jhaveri-Brar,122.94,204.9,40,180,16,98
hic beatae,Instant & Frozen Food,Naidu-Maharaj,342.63,571.05,40,180,21,56
natus voluptatum,Instant & Frozen Food,Sengupta and Sons,606.48,1010.8,40,180,14,54
et ex,Instant & Frozen Food,Bandi-Agate,575.71,959.52,40,180,10,52
commodi deleniti,Instant & Frozen Food,Bawa Inc,495.2,825.33,40,180,12,60
explicabo veritatis,Instant & Frozen Food,"Sagar, Brahmbhatt and Barad",556.96,928.27,40,180,28,100
sapiente rerum,Instant & Frozen Food,"Dhawan, Bakshi and Oza",456.47,760.78,40,180,29,91
exercitationem provident,Instant & Frozen Food,Kumar Group,831.75,1386.25,40,180,12,84
voluptates provident,Instant & Frozen Food,Shukla-Subramanian,682.39,1137.32,40,180,14,50
quis tenetur,Instant & Frozen Food,"Shah, Tailor and Pau",389.62,649.37,40,180,13,83
dolore cumque,Instant & Frozen Food,Upadhyay-Kaur,415.46,692.43,40,180,27,69
nam consequuntur,Instant & Frozen Food,Varma and Sons,671.22,1118.7,40,180,11,99
aperiam aspernatur,Instant & Frozen Food,"Dada, Narain and Banerjee",758.19,1263.65,40,180,12,86
iure repudiandae,Instant & Frozen Food,"Rajagopal, Hans and Oza",987.25,1645.42,40,180,26,66
nemo libero,Instant & Frozen Food,Apte-Patla,762.51,1270.85,40,180,25,75
quibusdam quas,Instant & Frozen Food,"Maharaj, Kashyap and Subramanian",706.33,1177.22,40,180,13,65
esse suscipit,Instant & Frozen Food,Chada and Sons,480.59,800.98,40,180,27,79
placeat consequatur,Instant & Frozen Food,Majumdar-Subramanian,635.27,1058.78,40,180,30,58
facilis vitae,Instant & Frozen Food,Minhas-Chakraborty,809.18,1348.63,40,180,13,77
atque amet,Instant & Frozen Food,Gupta-Lal,417.75,696.25,40,180,26,100
ea aliquam,Instant & Frozen Food,Shenoy LLC,369.95,616.58,40,180,13,70
reprehenderit ea,Instant & Frozen Food,Bhagat and Sons,38.63,64.38,40,180,25,88
labore magnam,Instant & Frozen Food,Gade Group,889.42,1482.37,40,180,28,99
sunt amet,Instant & Frozen Food,"Dutta, Issac and Khare",109.79,182.98,40,180,12,53
laborum saepe,Grocery & Staples,"Ram, Vig and Swaminathan",33.54,39.46,15,365,27,74
dolores quia,Grocery & Staples,Ben LLC,497.09,584.81,15,365,22,88
reprehenderit molestias,Grocery & Staples,"Singh, Atwal and Nagy",184.01,216.48,15,365,11,54
dicta maxime,Grocery & Staples,Batta-Shankar,799.43,940.51,15,365,21,80
quasi sapiente,Grocery & Staples,Mann and Sons,641.34,754.52,15,365,21,93
ut dolorum,Grocery & Staples,Walla PLC,564.18,663.74,15,365,13,89
laborum voluptas,Grocery & Staples,"Misra, Chaudhari and Keer",296.29,348.58,15,365,29,75
voluptas earum,Grocery & Staples,Saini-Tank,809.8,952.71,15,365,24,75
dicta vero,Grocery & Staples,Vaidya PLC,54.03,63.56,15,365,14,78
eos fuga,Grocery & Staples,Shetty Inc,282.54,332.4,15,365,18,85
ea vitae,Grocery & Staples,Barman Group,823.04,968.28,15,365,22,74
laudantium autem,Grocery & Staples,"Bajwa, Johal and Mannan",125.3,147.41,15,365,15,92
placeat eveniet,Grocery & Staples,Patel-Sagar,176.39,207.52,15,365,23,78
sapiente atque,Grocery & Staples,"Radhakrishnan, Luthra and Apte",652.23,767.33,15,365,14,91
nemo delectus,Grocery & Staples,"Choudhury, Comar and Deshpande",569.92,670.49,15,365,15,73
recusandae ad,Grocery & Staples,Babu Inc,922.44,1085.22,15,365,17,68
deleniti autem,Grocery & Staples,"Krishnamurthy, Dani and Shere",243.76,286.78,15,365,26,72
numquam corporis,Grocery & Staples,"Sangha, Bhasin and Mannan",39.18,46.09,15,365,26,66
eos voluptatum,Grocery & Staples,Agrawal Group,306.67,360.79,15,365,12,94
reiciendis consequuntur,Grocery & Staples,"Krishna, Sandal and Bhalla",426.79,502.11,15,365,26,89
aperiam explicabo,Household Care,"Sampath, Guha and Gera",973.53,1298.04,25,365,11,98
necessitatibus temporibus,Household Care,Patel Group,101.29,135.05,25,365,26,69
quis eveniet,Household Care,Dube-Saraf,179.81,239.75,25,365,13,81
facilis enim,Household Care,Chadha-Ben,466.18,621.57,25,365,14,94
doloribus laudantium,Household Care,"Halder, Kant and Sant",33.93,45.24,25,365,17,71
deleniti reiciendis,Household Care,"Sem, Nayar and Madan",371.12,494.83,25,365,20,89
nisi aliquid,Household Care,Kapur PLC,897,1196,25,365,21,90
cupiditate non,Household Care,"Nayak, Sengupta and Savant",456.67,608.89,25,365,27,86
reprehenderit non,Household Care,Chadha Inc,272.33,363.11,25,365,23,99
vitae aliquid,Household Care,Vyas-Jayaraman,384.77,513.03,25,365,18,54
atque sint,Household Care,Trivedi LLC,446.09,594.79,25,365,18,57
in veritatis,Household Care,Palan-Sachar,566.13,754.84,25,365,16,96
minima asperiores,Household Care,Raj Ltd,705.63,940.84,25,365,13,85
asperiores officiis,Household Care,Chaudhari Group,590.8,787.73,25,365,11,75
dolor rerum,Household Care,Iyer-Ramesh,605.5,807.33,25,365,20,52
molestiae iure,Household Care,Saxena-Nori,974.81,1299.75,25,365,12,66
cumque magnam,Household Care,"Vala, Banerjee and Lalla",527.16,702.88,25,365,10,87
doloremque accusamus,Household Care,"Banik, Wadhwa and Mittal",955.16,1273.55,25,365,10,97
qui in,Personal Care,Swaminathan-Kumar,32.1,49.38,35,365,27,97
iste fugiat,Personal Care,"Warrior, Gulati and Shanker",474.28,729.66,35,365,17,65
occaecati eaque,Personal Care,Kalla-Tara,54.94,84.52,35,365,25,54
facere doloremque,Personal Care,Sawhney Group,264.31,406.63,35,365,13,76
commodi molestias,Personal Care,Loke and Sons,412.44,634.52,35,365,26,79
cum officiis,Personal Care,"Suresh, Kakar and Bassi",175.34,269.75,35,365,23,52
in iusto,Personal Care,Barad-Devi,802.36,1234.4,35,365,16,76
suscipit repellendus,Personal Care,Chakraborty-Khanna,129.61,199.4,35,365,22,88
impedit dicta,Personal Care,"Mahajan, Mann and Nadkarni",719.24,1106.52,35,365,20,68
perferendis magnam,Personal Care,Kota Ltd,851.72,1310.34,35,365,28,63
nostrum temporibus,Personal Care,"Taneja, Sane and Batra",408.99,629.22,35,365,23,59
cum blanditiis,Personal Care,Sant-Zacharia,875.22,1346.49,35,365,11,60
accusantium minus,Personal Care,Divan PLC,615.25,946.54,35,365,19,86
consequuntur unde,Personal Care,Dash Inc,726.12,1117.11,35,365,15,98
enim odit,Personal Care,Chaudhary LLC,897.69,1381.06,35,365,14,86
consectetur magnam,Baby Care,"Kothari, Badami and Nagarajan",967.07,1381.53,30,365,22,75
aspernatur deserunt,Baby Care,Balasubramanian Inc,662.93,947.04,30,365,16,50
quaerat architecto,Baby Care,Naik Inc,287.05,410.07,30,365,30,63
molestiae distinctio,Baby Care,"Jani, Sengupta and Patla",501.55,716.5,30,365,13,80
nam eligendi,Baby Care,Dhar and Sons,675.72,965.31,30,365,28,76
eaque cupiditate,Baby Care,Johal Group,185.39,264.84,30,365,11,95
quibusdam in,Baby Care,"Taneja, Lata and Koshy",662.78,946.83,30,365,16,79
eveniet fugiat,Baby Care,"Chandran, Jha and Choudhry",119.33,170.47,30,365,24,63
quis quae,Baby Care,"Gera, Wali and Mishra",96.97,138.53,30,365,14,71
cum praesentium,Baby Care,Morar-Sidhu,843.43,1204.9,30,365,15,79
ea ipsa,Baby Care,"Banik, Loyal and Agrawal",563.31,804.73,30,365,28,95
blanditiis non,Baby Care,"Hegde, Prashad and Sachar",280.32,400.46,30,365,13,50
voluptates repellendus,Baby Care,"Patel, Dubey and Dhar",265.86,379.8,30,365,17,86
earum eaque,Baby Care,Anne-Uppal,734.63,1049.47,30,365,24,93
error sapiente,Baby Care,Jhaveri-Biswas,984.22,1406.03,30,365,16,95
provident sapiente,Baby Care,"Aggarwal, Dewan and Bhardwaj",288.98,412.83,30,365,21,73
doloremque deleniti,Baby Care,Narasimhan LLC,183.29,261.84,30,365,15,59
praesentium repellendus,Baby Care,Suresh Group,332.6,475.14,30,365,11,96
quod accusamus,Baby Care,Sahni Inc,132.28,188.97,30,365,14,75
optio rem,Baby Care,Krishnamurthy and Sons,502.09,717.27,30,365,12,76
corporis repudiandae,Baby Care,Dixit LLC,902.33,1289.04,30,365,25,83
ea sequi,Baby Care,Sahni-Majumdar,992.53,1417.9,30,365,17,70
dignissimos quisquam,Baby Care,Nigam LLC,927.24,1324.63,30,365,30,91
molestiae similique,Baby Care,Bhalla PLC,211.75,302.5,30,365,21,56
delectus maxime,Baby Care,Om-Halder,801.12,1144.46,30,365,22,100
libero quaerat,Baby Care,"Chakrabarti, Chandran and Bhat",428.7,612.43,30,365,30,82
libero earum,Baby Care,Rajan and Sons,565.95,808.5,30,365,15,63
quaerat molestiae,Baby Care,Som LLC,813.76,1162.51,30,365,29,58
porro est,Baby Care,"Menon, Bala and Varughese",361.08,515.83,30,365,16,60
optio vitae,Baby Care,Sheth-Kapadia,558.24,797.49,30,365,25,71
numquam maiores,Pet Care,Warrior Ltd,306.56,471.63,35,365,27,74
eos enim,Pet Care,"Ranganathan, Gulati and Prakash",582.64,896.37,35,365,25,59
totam reprehenderit,Pet Care,Pandey-Narula,543.71,836.48,35,365,29,87
delectus est,Pet Care,Samra Group,249.74,384.22,35,365,15,54
architecto sapiente,Pet Care,Venkataraman PLC,760.02,1169.26,35,365,28,93
sequi ipsa,Pet Care,"Guha, Jhaveri and Grewal",540.69,831.83,35,365,27,67
quae autem,Pet Care,"Chaudhary, Tara and Dubey",691.18,1063.35,35,365,19,87
quibusdam facilis,Pet Care,Dhillon-Andra,579.72,891.88,35,365,10,97
ipsam distinctio,Pet Care,Hegde-Chaudhary,884.58,1360.89,35,365,29,68
voluptatibus saepe,Pet Care,Dar Inc,683.35,1051.31,35,365,30,66
eligendi cupiditate,Pet Care,Om-Chander,473.97,729.18,35,365,16,95
ratione distinctio,Pet Care,Bhasin-Prasad,389.41,599.09,35,365,23,70
placeat velit,Pet Care,"Vig, Khalsa and Dugar",531.72,818.03,35,365,26,51
dignissimos exercitationem,Pet Care,Rajan-Keer,191.5,294.62,35,365,21,80
distinctio tenetur,Pet Care,Baria Inc,88.44,136.06,35,365,19,83
velit eius,Pet Care,Dutt-Aggarwal,568.28,874.28,35,365,14,75
quo odio,Pet Care,"Kashyap, Walia and Rajan",780.5,1200.77,35,365,11,66
soluta enim,Pet Care,Sarraf-Varkey,687.03,1056.97,35,365,12,73
sapiente facilis,Pet Care,Sule-Bose,342.03,526.2,35,365,10,83
itaque fugit,Pet Care,Borah Inc,531.3,817.38,35,365,18,67
quam sequi,Pet Care,Setty PLC,813.4,1251.38,35,365,29,90
eveniet saepe,Pet Care,Shroff-Krishna,650.95,1001.46,35,365,13,96
eaque deleniti,Pet Care,"Andra, Pillai and Khalsa",605.31,931.25,35,365,16,54
dolores quo,Pet Care,Luthra LLC,768.7,1182.62,35,365,21,76
modi ea,Pharmacy,Koshy-Edwin,442.03,552.54,20,365,25,96
voluptatum reprehenderit,Pharmacy,"Narang, Dugar and Biswas",350.39,437.99,20,365,10,76
dolorem rerum,Pharmacy,Kuruvilla LLC,737.65,922.06,20,365,14,87
asperiores eveniet,Pharmacy,"Krishnan, Lall and Gola",241.51,301.89,20,365,12,55
aspernatur facere,Pharmacy,"Sahota, Pai and Minhas",953.8,1192.25,20,365,18,65
maxime quos,Pharmacy,"Seth, Kapoor and Basu",267.58,334.47,20,365,20,99
nam minima,Pharmacy,"Devan, Bains and Bir",612.56,765.7,20,365,20,74
repellat molestias,Pharmacy,Sekhon Inc,290.68,363.35,20,365,18,99
corporis nesciunt,Pharmacy,Badami Group,22.6,28.25,20,365,14,55
animi error,Pharmacy,More-Varughese,943.65,1179.56,20,365,18,86
optio sunt,Pharmacy,"Dada, Doctor and Narula",83.04,103.8,20,365,29,72
tempora repellat,Pharmacy,Bawa Group,244,305,20,365,25,65
asperiores alias,Pharmacy,Sunder and Sons,476.34,595.42,20,365,23,74
ab sed,Pharmacy,"Seth, Dasgupta and Shanker",76.19,95.24,20,365,28,75
quibusdam laudantium,Pharmacy,"Yohannan, Nayak and Tank",400.67,500.84,20,365,11,86
